,0,1,2,3
"(0, 0)",-1.7939083717398505,-1.859895908606578,-0.5759620920322567,-1.802228291431724
"(1, 0)",-1.4889137906854248,-1.518587435567746,-0.46863418250737543,-1.5226935190908533
"(0, 1)",-1.3902131222349654,-1.3931921829677436,-1.2880913120603643,-1.3861809972604993
"(1, 1)",-1.1274174654950548,-1.1274567060867522,-0.8474527917520756,-1.1350791179997628
"(2, 1)",-0.9898811930357083,-0.2576023331030575,-0.8930472081379851,-1.0413834874938703
"(2, 0)",-1.1835358379488423,-0.38247284600451414,-1.1926876503321504,-1.183856714402688
"(1, 2)",-0.8271079963140558,-0.8216036432017314,-0.7019913551009108,-0.820755704100323
"(0, 2)",-0.9228727546414972,-0.907172700607966,-0.8784339064785289,-0.9073914538333656
"(3, 0)",-0.8382456512404981,-0.7355559938302336,-0.838673680297204,-0.8506091755604672
"(3, 1)",-0.6128863360240238,0.11671287222207288,-0.6076644263376794,-0.5742775259719604
"(3, 2)",-0.44014224246823846,0.8434399094507818,-0.31768736532823383,-0.5785399445090361
"(3, 3)",0.0,0.0,0.0,0.0
"(2, 2)",-0.8782506714456814,-0.8332702555762566,-0.21233005337515523,-0.9863742940655784
"(2, 3)",-0.40324267286598736,-0.39570816453140456,-0.05055707919829632,-0.4007377950987094
"(0, 3)",-0.7195859613022665,-0.7263611643350035,-0.7221367818063763,-0.7272287145846877
"(1, 3)",-0.5775303271893847,-0.5789111099558577,-0.5592409900614509,-0.5745250906042391
